;Ferrovia;Linha;A;B;Extensão (km);x;AB;Instalada;Trens;Utilizada
1527;RMS;Rubião Junior - Presidente Epitácio;ZCM;ZAS;15,482;Ramais desativados / em processos de reativação deliberação 302;ZCM - ZAS;0;0;0
1528;RMS;Rubião Junior - Presidente Epitácio;ZAS;ZPK;42,584;Ramais desativados / em processos de reativação deliberação 302;ZAS - ZPK;0;0;0
1529;RMS;Rubião Junior - Presidente Epitácio;ZPK;ZQT;30,238;Ramais desativados / em processos de reativação deliberação 302;ZPK - ZQT;0;0;0
1530;RMS;Rubião Junior - Presidente Epitácio;ZQT;ZRN;26,761;Ramais desativados / em processos de reativação deliberação 302;ZQT - ZRN;0;0;0
1531;RMS;Rubião Junior - Presidente Epitácio;ZRN;ZBQ;17;Ramais desativados / em processos de reativação deliberação 302;ZRN - ZBQ;0;0;0
1532;RMS;Rubião Junior - Presidente Epitácio;ZBQ;ZMT;26,235;Ramais desativados / em processos de reativação deliberação 302;ZBQ - ZMT;0;0;0
1533;RMS;Rubião Junior - Presidente Epitácio;ZMT;ZIN;14,202;Ramais desativados / em processos de reativação deliberação 302;ZMT - ZIN;0;0;0
1534;RMS;Rubião Junior - Presidente Epitácio;ZIN;ZRG;10,943;Ramais desativados / em processos de reativação deliberação 302;ZIN - ZRG;0;0;0
1535;RMS;Rubião Junior - Presidente Epitácio;ZRG;ZPP;16,741;Ramais desativados / em processos de reativação deliberação 302;ZRG - ZPP;0;0;0
1536;RMS;Rubião Junior - Presidente Epitácio;ZPP;ZAE;13,61;Ramais desativados / em processos de reativação deliberação 302;ZPP - ZAE;0;0;0
1537;RMS;Rubião Junior - Presidente Epitácio;ZAE;ZPR;13,363;Ramais desativados / em processos de reativação deliberação 302;ZAE - ZPR;0;0;0
1538;RMS;Rubião Junior - Presidente Epitácio;ZPR;ZSC;14,322;Ramais desativados / em processos de reativação deliberação 302;ZPR - ZSC;0;0;0
1539;RMS;Rubião Junior - Presidente Epitácio;ZSC;ZPC;14;Ramais desativados / em processos de reativação deliberação 302;ZSC - ZPC;0;0;0
1540;RMS;Rubião Junior - Presidente Epitácio;ZPC;ZPW;15,866;Ramais desativados / em processos de reativação deliberação 302;ZPC - ZPW;0;0;0
1541;RMS;Rubião Junior - Presidente Epitácio;ZPW;ZCS;18;Ramais desativados / em processos de reativação deliberação 302;ZPW - ZCS;0;0;0
1542;RMS;Rubião Junior - Presidente Epitácio;ZCS;ZPE;14,837;Ramais desativados / em processos de reativação deliberação 302;ZCS - ZPE;0;0;0
1543;RMS;Triângulo - Cruz Alta;NTM;NFP;7,81;;NTM - NFP;7,86446;2,9;0,368747505
1544;RMS;Triângulo - Cruz Alta;NFP;NPI;8,591;;NFP - NPI;7,86446;2,9;0,368747505
1545;RMS;Triângulo - Cruz Alta;NPI;NVS;15,935;;NPI - NVS;10,13101;2,9;0,286249841
1546;RMS;Triângulo - Cruz Alta;NVS;NGU;20,858;;NVS - NGU;6,55263;2,9;0,442570388
1547;RMS;Triângulo - Cruz Alta;NGU;NJC;10,23;;NGU - NJC;10,85493;2,9;0,267159715
1548;RMS;Triângulo - Cruz Alta;NJC;NTP;24,29;;NJC - NTP;5,90672;2,9;0,490966222
1549;RMS;Triângulo - Cruz Alta;NTP;NEP;26,497;;NTP - NEP;6,05226;2,9;0,479159851
1550;RMS;Triângulo - Cruz Alta;NEP;NBN;19,869;;NEP - NBN;7,34453;2,9;0,394851679
1551;RMS;Triângulo - Cruz Alta;NBN;NCZ;8,651;;NBN - NCZ;30,65611;2,9;0,094597782
1552;RMS;Triângulo - Cacequi;NTM;NSM;2,379;;NTM - NSM;33,39892;3,2;0,095811481
1553;RMS;Triângulo - Cacequi;NSM;NBM;11,124;;NSM - NBM;9,4246;3,2;0,339536956
1554;RMS;Triângulo - Cacequi;NBM;NCN;9,187;;NBM - NCN;9,4246;3,2;0,339536956
1555;RMS;Triângulo - Cacequi;NCN;NDA;22,292;;NCN - NDA;10,59878;3,2;0,301921542
1556;RMS;Triângulo - Cacequi;NDA;NSL;23,628;;NDA - NSL;6,61838;3,2;0,483502005
1557;RMS;Triângulo - Cacequi;NSL;NUB;23,295;;NSL - NUB;5,50572;3,2;0,58121372
1558;RMS;Triângulo - Cacequi;NUB;NCY;21,118;;NUB - NCY;8,60275;3,2;0,371974078
